set,bond_type,len_lo,len_hi,n,pct
"Reference ligand (train+test, pose-weighted)",C=C,1.13,1.135,0,0.0
"Reference ligand (train+test, pose-weighted)",C=C,1.135,1.14,0,0.0
"Reference ligand (train+test, pose-weighted)",C=C,1.14,1.145,0,0.0
"Reference ligand (train+test, pose-weighted)",C=C,1.145,1.15,2,0.0057
"Reference ligand (train+test, pose-weighted)",C=C,1.15,1.155,1,0.0029
"Reference ligand (train+test, pose-weighted)",C=C,1.155,1.16,0,0.0
"Reference ligand (train+test, pose-weighted)",C=C,1.16,1.165,0,0.0
"Reference ligand (train+test, pose-weighted)",C=C,1.165,1.17,0,0.0
"Reference ligand (train+test, pose-weighted)",C=C,1.17,1.175,0,0.0
"Reference ligand (train+test, pose-weighted)",C=C,1.175,1.18,0,0.0
"Reference ligand (train+test, pose-weighted)",C=C,1.18,1.185,0,0.0
"Reference ligand (train+test, pose-weighted)",C=C,1.185,1.19,0,0.0
"Reference ligand (train+test, pose-weighted)",C=C,1.19,1.195,0,0.0
"Reference ligand (train+test, pose-weighted)",C=C,1.195,1.2,0,0.0
"Reference ligand (train+test, pose-weighted)",C=C,1.2,1.205,0,0.0
"Reference ligand (train+test, pose-weighted)",C=C,1.205,1.21,10,0.0285
"Reference ligand (train+test, pose-weighted)",C=C,1.21,1.215,1,0.0029
"Reference ligand (train+test, pose-weighted)",C=C,1.215,1.22,4,0.0114
"Reference ligand (train+test, pose-weighted)",C=C,1.22,1.225,15,0.0428
"Reference ligand (train+test, pose-weighted)",C=C,1.225,1.23,11,0.0314
"Reference ligand (train+test, pose-weighted)",C=C,1.23,1.235,0,0.0
"Reference ligand (train+test, pose-weighted)",C=C,1.235,1.24,0,0.0
"Reference ligand (train+test, pose-weighted)",C=C,1.24,1.245,1,0.0029
"Reference ligand (train+test, pose-weighted)",C=C,1.245,1.25,0,0.0
"Reference ligand (train+test, pose-weighted)",C=C,1.25,1.255,9,0.0257
"Reference ligand (train+test, pose-weighted)",C=C,1.255,1.26,3,0.0086
"Reference ligand (train+test, pose-weighted)",C=C,1.26,1.265,11,0.0314
"Reference ligand (train+test, pose-weighted)",C=C,1.265,1.27,2,0.0057
"Reference ligand (train+test, pose-weighted)",C=C,1.27,1.275,23,0.0657
"Reference ligand (train+test, pose-weighted)",C=C,1.275,1.28,2,0.0057
"Reference ligand (train+test, pose-weighted)",C=C,1.28,1.285,26,0.0742
"Reference ligand (train+test, pose-weighted)",C=C,1.285,1.29,37,0.1056
"Reference ligand (train+test, pose-weighted)",C=C,1.29,1.295,97,0.2769
"Reference ligand (train+test, pose-weighted)",C=C,1.295,1.3,95,0.2712
"Reference ligand (train+test, pose-weighted)",C=C,1.3,1.305,178,0.5081
"Reference ligand (train+test, pose-weighted)",C=C,1.305,1.31,212,0.6051
"Reference ligand (train+test, pose-weighted)",C=C,1.31,1.315,192,0.5481
"Reference ligand (train+test, pose-weighted)",C=C,1.315,1.32,503,1.4358
"Reference ligand (train+test, pose-weighted)",C=C,1.32,1.325,562,1.6042
"Reference ligand (train+test, pose-weighted)",C=C,1.325,1.33,830,2.3692
"Reference ligand (train+test, pose-weighted)",C=C,1.33,1.335,1057,3.0172
"Reference ligand (train+test, pose-weighted)",C=C,1.335,1.34,1165,3.3254
"Reference ligand (train+test, pose-weighted)",C=C,1.34,1.345,1467,4.1875
"Reference ligand (train+test, pose-weighted)",C=C,1.345,1.35,1455,4.1532
"Reference ligand (train+test, pose-weighted)",C=C,1.35,1.355,1383,3.9477
"Reference ligand (train+test, pose-weighted)",C=C,1.355,1.36,1311,3.7422
"Reference ligand (train+test, pose-weighted)",C=C,1.36,1.365,914,2.609
"Reference ligand (train+test, pose-weighted)",C=C,1.365,1.37,924,2.6375
"Reference ligand (train+test, pose-weighted)",C=C,1.37,1.375,711,2.0295
"Reference ligand (train+test, pose-weighted)",C=C,1.375,1.38,1215,3.4682
"Reference ligand (train+test, pose-weighted)",C=C,1.38,1.385,1162,3.3169
"Reference ligand (train+test, pose-weighted)",C=C,1.385,1.39,1623,4.6328
"Reference ligand (train+test, pose-weighted)",C=C,1.39,1.395,2715,7.7498
"Reference ligand (train+test, pose-weighted)",C=C,1.395,1.4,1393,3.9763
"Reference ligand (train+test, pose-weighted)",C=C,1.4,1.405,1601,4.57
"Reference ligand (train+test, pose-weighted)",C=C,1.405,1.41,1313,3.7479
"Reference ligand (train+test, pose-weighted)",C=C,1.41,1.415,1216,3.471
"Reference ligand (train+test, pose-weighted)",C=C,1.415,1.42,716,2.0438
"Reference ligand (train+test, pose-weighted)",C=C,1.42,1.425,850,2.4263
"Reference ligand (train+test, pose-weighted)",C=C,1.425,1.43,743,2.1209
"Reference ligand (train+test, pose-weighted)",C=C,1.43,1.435,466,1.3302
"Reference ligand (train+test, pose-weighted)",C=C,1.435,1.44,460,1.313
"Reference ligand (train+test, pose-weighted)",C=C,1.44,1.445,278,0.7935
"Reference ligand (train+test, pose-weighted)",C=C,1.445,1.45,297,0.8478
"Reference ligand (train+test, pose-weighted)",C=C,1.45,1.455,417,1.1903
"Reference ligand (train+test, pose-weighted)",C=C,1.455,1.46,170,0.4853
"Reference ligand (train+test, pose-weighted)",C=C,1.46,1.465,371,1.059
"Reference ligand (train+test, pose-weighted)",C=C,1.465,1.47,390,1.1132
"Reference ligand (train+test, pose-weighted)",C=C,1.47,1.475,222,0.6337
"Reference ligand (train+test, pose-weighted)",C=C,1.475,1.48,318,0.9077
"Reference ligand (train+test, pose-weighted)",C=C,1.48,1.485,267,0.7621
"Reference ligand (train+test, pose-weighted)",C=C,1.485,1.49,233,0.6651
"Reference ligand (train+test, pose-weighted)",C=C,1.49,1.495,322,0.9191
"Reference ligand (train+test, pose-weighted)",C=C,1.495,1.5,286,0.8164
"Reference ligand (train+test, pose-weighted)",C=C,1.5,1.505,274,0.7821
"Reference ligand (train+test, pose-weighted)",C=C,1.505,1.51,220,0.628
"Reference ligand (train+test, pose-weighted)",C=C,1.51,1.515,340,0.9705
"Reference ligand (train+test, pose-weighted)",C=C,1.515,1.52,200,0.5709
"Reference ligand (train+test, pose-weighted)",C=C,1.52,1.525,435,1.2417
"Reference ligand (train+test, pose-weighted)",C=C,1.525,1.53,230,0.6565
"Reference ligand (train+test, pose-weighted)",C=C,1.53,1.535,226,0.6451
"Reference ligand (train+test, pose-weighted)",C=C,1.535,1.54,116,0.3311
"Reference ligand (train+test, pose-weighted)",C=C,1.54,1.545,100,0.2854
"Reference ligand (train+test, pose-weighted)",C=C,1.545,1.55,130,0.3711
"Reference ligand (train+test, pose-weighted)",C=C,1.55,1.555,70,0.1998
"Reference ligand (train+test, pose-weighted)",C=C,1.555,1.56,122,0.3482
"Reference ligand (train+test, pose-weighted)",C=C,1.56,1.565,38,0.1085
"Reference ligand (train+test, pose-weighted)",C=C,1.565,1.57,23,0.0657
"Reference ligand (train+test, pose-weighted)",C=C,1.57,1.575,26,0.0742
"Reference ligand (train+test, pose-weighted)",C=C,1.575,1.58,7,0.02
"Reference ligand (train+test, pose-weighted)",C=C,1.58,1.585,7,0.02
"Reference ligand (train+test, pose-weighted)",C=C,1.585,1.59,33,0.0942
"Reference ligand (train+test, pose-weighted)",C=C,1.59,1.595,2,0.0057
"Reference ligand (train+test, pose-weighted)",C=C,1.595,1.6,33,0.0942
"Reference ligand (train+test, pose-weighted)",C=C,1.6,1.605,5,0.0143
"Reference ligand (train+test, pose-weighted)",C=C,1.605,1.61,10,0.0285
"Reference ligand (train+test, pose-weighted)",C=C,1.61,1.615,0,0.0
"Reference ligand (train+test, pose-weighted)",C=C,1.615,1.62,0,0.0
"Reference ligand (train+test, pose-weighted)",C=C,1.62,1.625,0,0.0
"Reference ligand (train+test, pose-weighted)",C=C,1.625,1.63,8,0.0228
"Reference ligand (train+test, pose-weighted)",C=C,1.63,1.635,5,0.0143
"Reference ligand (train+test, pose-weighted)",C=C,1.635,1.64,1,0.0029
"Reference ligand (train+test, pose-weighted)",C=C,1.64,1.645,9,0.0257
"Reference ligand (train+test, pose-weighted)",C=C,1.645,1.65,0,0.0
"Reference ligand (train+test, pose-weighted)",C=C,1.65,1.655,0,0.0
"Reference ligand (train+test, pose-weighted)",C=C,1.655,1.66,0,0.0
"Reference ligand (train+test, pose-weighted)",C=C,1.66,1.665,0,0.0
"Reference ligand (train+test, pose-weighted)",C=C,1.665,1.67,10,0.0285
"Reference ligand (train+test, pose-weighted)",C=C,1.67,1.675,0,0.0
"Reference ligand (train+test, pose-weighted)",C=C,1.675,1.68,0,0.0
"Reference ligand (train+test, pose-weighted)",C=C,1.68,1.685,1,0.0029
"Reference ligand (train+test, pose-weighted)",C=C,1.685,1.69,0,0.0
"Reference ligand (train+test, pose-weighted)",C=C,1.69,inf,2,0.0057
"Reference ligand (train+test, pose-weighted)",C-N,-inf,1.1,23,0.0087
"Reference ligand (train+test, pose-weighted)",C-N,1.1,1.105,3,0.0011
"Reference ligand (train+test, pose-weighted)",C-N,1.105,1.11,0,0.0
"Reference ligand (train+test, pose-weighted)",C-N,1.11,1.115,0,0.0
"Reference ligand (train+test, pose-weighted)",C-N,1.115,1.12,26,0.0098
"Reference ligand (train+test, pose-weighted)",C-N,1.12,1.125,0,0.0
"Reference ligand (train+test, pose-weighted)",C-N,1.125,1.13,3,0.0011
"Reference ligand (train+test, pose-weighted)",C-N,1.13,1.135,1,0.0004
"Reference ligand (train+test, pose-weighted)",C-N,1.135,1.14,4,0.0015
"Reference ligand (train+test, pose-weighted)",C-N,1.14,1.145,3,0.0011
"Reference ligand (train+test, pose-weighted)",C-N,1.145,1.15,0,0.0
"Reference ligand (train+test, pose-weighted)",C-N,1.15,1.155,0,0.0
"Reference ligand (train+test, pose-weighted)",C-N,1.155,1.16,28,0.0106
"Reference ligand (train+test, pose-weighted)",C-N,1.16,1.165,1,0.0004
"Reference ligand (train+test, pose-weighted)",C-N,1.165,1.17,0,0.0
"Reference ligand (train+test, pose-weighted)",C-N,1.17,1.175,1,0.0004
"Reference ligand (train+test, pose-weighted)",C-N,1.175,1.18,0,0.0
"Reference ligand (train+test, pose-weighted)",C-N,1.18,1.185,0,0.0
"Reference ligand (train+test, pose-weighted)",C-N,1.185,1.19,0,0.0
"Reference ligand (train+test, pose-weighted)",C-N,1.19,1.195,2,0.0008
"Reference ligand (train+test, pose-weighted)",C-N,1.195,1.2,3,0.0011
"Reference ligand (train+test, pose-weighted)",C-N,1.2,1.205,0,0.0
"Reference ligand (train+test, pose-weighted)",C-N,1.205,1.21,8,0.003
"Reference ligand (train+test, pose-weighted)",C-N,1.21,1.215,6,0.0023
"Reference ligand (train+test, pose-weighted)",C-N,1.215,1.22,17,0.0064
"Reference ligand (train+test, pose-weighted)",C-N,1.22,1.225,3,0.0011
"Reference ligand (train+test, pose-weighted)",C-N,1.225,1.23,52,0.0196
"Reference ligand (train+test, pose-weighted)",C-N,1.23,1.235,75,0.0283
"Reference ligand (train+test, pose-weighted)",C-N,1.235,1.24,34,0.0128
"Reference ligand (train+test, pose-weighted)",C-N,1.24,1.245,84,0.0317
"Reference ligand (train+test, pose-weighted)",C-N,1.245,1.25,41,0.0155
"Reference ligand (train+test, pose-weighted)",C-N,1.25,1.255,129,0.0487
"Reference ligand (train+test, pose-weighted)",C-N,1.255,1.26,131,0.0494
"Reference ligand (train+test, pose-weighted)",C-N,1.26,1.265,208,0.0785
"Reference ligand (train+test, pose-weighted)",C-N,1.265,1.27,116,0.0438
"Reference ligand (train+test, pose-weighted)",C-N,1.27,1.275,304,0.1147
"Reference ligand (train+test, pose-weighted)",C-N,1.275,1.28,223,0.0842
"Reference ligand (train+test, pose-weighted)",C-N,1.28,1.285,358,0.1351
"Reference ligand (train+test, pose-weighted)",C-N,1.285,1.29,361,0.1362
"Reference ligand (train+test, pose-weighted)",C-N,1.29,1.295,745,0.2811
"Reference ligand (train+test, pose-weighted)",C-N,1.295,1.3,897,0.3385
"Reference ligand (train+test, pose-weighted)",C-N,1.3,1.305,901,0.34
"Reference ligand (train+test, pose-weighted)",C-N,1.305,1.31,1238,0.4672
"Reference ligand (train+test, pose-weighted)",C-N,1.31,1.315,1810,0.683
"Reference ligand (train+test, pose-weighted)",C-N,1.315,1.32,2741,1.0344
"Reference ligand (train+test, pose-weighted)",C-N,1.32,1.325,3675,1.3868
"Reference ligand (train+test, pose-weighted)",C-N,1.325,1.33,6932,2.6159
"Reference ligand (train+test, pose-weighted)",C-N,1.33,1.335,9807,3.7009
"Reference ligand (train+test, pose-weighted)",C-N,1.335,1.34,9240,3.4869
"Reference ligand (train+test, pose-weighted)",C-N,1.34,1.345,8544,3.2242
"Reference ligand (train+test, pose-weighted)",C-N,1.345,1.35,8962,3.382
"Reference ligand (train+test, pose-weighted)",C-N,1.35,1.355,8901,3.359
"Reference ligand (train+test, pose-weighted)",C-N,1.355,1.36,7339,2.7695
"Reference ligand (train+test, pose-weighted)",C-N,1.36,1.365,6188,2.3352
"Reference ligand (train+test, pose-weighted)",C-N,1.365,1.37,5582,2.1065
"Reference ligand (train+test, pose-weighted)",C-N,1.37,1.375,5299,1.9997
"Reference ligand (train+test, pose-weighted)",C-N,1.375,1.38,4682,1.7668
"Reference ligand (train+test, pose-weighted)",C-N,1.38,1.385,4351,1.6419
"Reference ligand (train+test, pose-weighted)",C-N,1.385,1.39,4399,1.6601
"Reference ligand (train+test, pose-weighted)",C-N,1.39,1.395,4013,1.5144
"Reference ligand (train+test, pose-weighted)",C-N,1.395,1.4,3944,1.4883
"Reference ligand (train+test, pose-weighted)",C-N,1.4,1.405,3642,1.3744
"Reference ligand (train+test, pose-weighted)",C-N,1.405,1.41,3784,1.428
"Reference ligand (train+test, pose-weighted)",C-N,1.41,1.415,3690,1.3925
"Reference ligand (train+test, pose-weighted)",C-N,1.415,1.42,3683,1.3899
"Reference ligand (train+test, pose-weighted)",C-N,1.42,1.425,3347,1.2631
"Reference ligand (train+test, pose-weighted)",C-N,1.425,1.43,3653,1.3785
"Reference ligand (train+test, pose-weighted)",C-N,1.43,1.435,2850,1.0755
"Reference ligand (train+test, pose-weighted)",C-N,1.435,1.44,4578,1.7276
"Reference ligand (train+test, pose-weighted)",C-N,1.44,1.445,4894,1.8468
"Reference ligand (train+test, pose-weighted)",C-N,1.445,1.45,6643,2.5069
"Reference ligand (train+test, pose-weighted)",C-N,1.45,1.455,8501,3.208
"Reference ligand (train+test, pose-weighted)",C-N,1.455,1.46,10983,4.1447
"Reference ligand (train+test, pose-weighted)",C-N,1.46,1.465,12943,4.8843
"Reference ligand (train+test, pose-weighted)",C-N,1.465,1.47,14138,5.3353
"Reference ligand (train+test, pose-weighted)",C-N,1.47,1.475,14091,5.3175
"Reference ligand (train+test, pose-weighted)",C-N,1.475,1.48,11004,4.1526
"Reference ligand (train+test, pose-weighted)",C-N,1.48,1.485,9712,3.665
"Reference ligand (train+test, pose-weighted)",C-N,1.485,1.49,8407,3.1725
"Reference ligand (train+test, pose-weighted)",C-N,1.49,1.495,6070,2.2906
"Reference ligand (train+test, pose-weighted)",C-N,1.495,1.5,4063,1.5333
"Reference ligand (train+test, pose-weighted)",C-N,1.5,1.505,2801,1.057
"Reference ligand (train+test, pose-weighted)",C-N,1.505,1.51,2028,0.7653
"Reference ligand (train+test, pose-weighted)",C-N,1.51,1.515,1592,0.6008
"Reference ligand (train+test, pose-weighted)",C-N,1.515,1.52,1047,0.3951
"Reference ligand (train+test, pose-weighted)",C-N,1.52,1.525,984,0.3713
"Reference ligand (train+test, pose-weighted)",C-N,1.525,1.53,736,0.2777
"Reference ligand (train+test, pose-weighted)",C-N,1.53,1.535,638,0.2408
"Reference ligand (train+test, pose-weighted)",C-N,1.535,1.54,316,0.1192
"Reference ligand (train+test, pose-weighted)",C-N,1.54,1.545,286,0.1079
"Reference ligand (train+test, pose-weighted)",C-N,1.545,1.55,215,0.0811
"Reference ligand (train+test, pose-weighted)",C-N,1.55,1.555,249,0.094
"Reference ligand (train+test, pose-weighted)",C-N,1.555,1.56,130,0.0491
"Reference ligand (train+test, pose-weighted)",C-N,1.56,1.565,63,0.0238
"Reference ligand (train+test, pose-weighted)",C-N,1.565,1.57,72,0.0272
"Reference ligand (train+test, pose-weighted)",C-N,1.57,1.575,45,0.017
"Reference ligand (train+test, pose-weighted)",C-N,1.575,1.58,168,0.0634
"Reference ligand (train+test, pose-weighted)",C-N,1.58,1.585,52,0.0196
"Reference ligand (train+test, pose-weighted)",C-N,1.585,1.59,45,0.017
"Reference ligand (train+test, pose-weighted)",C-N,1.59,1.595,46,0.0174
"Reference ligand (train+test, pose-weighted)",C-N,1.595,1.6,68,0.0257
"Reference ligand (train+test, pose-weighted)",C-N,1.6,1.605,14,0.0053
"Reference ligand (train+test, pose-weighted)",C-N,1.605,1.61,45,0.017
"Reference ligand (train+test, pose-weighted)",C-N,1.61,1.615,17,0.0064
"Reference ligand (train+test, pose-weighted)",C-N,1.615,1.62,14,0.0053
"Reference ligand (train+test, pose-weighted)",C-N,1.62,1.625,13,0.0049
"Reference ligand (train+test, pose-weighted)",C-N,1.625,1.63,1,0.0004
"Reference ligand (train+test, pose-weighted)",C-N,1.63,1.635,14,0.0053
"Reference ligand (train+test, pose-weighted)",C-N,1.635,1.64,21,0.0079
"Reference ligand (train+test, pose-weighted)",C-N,1.64,1.645,8,0.003
"Reference ligand (train+test, pose-weighted)",C-N,1.645,1.65,19,0.0072
"Reference ligand (train+test, pose-weighted)",C-N,1.65,1.655,18,0.0068
"Reference ligand (train+test, pose-weighted)",C-N,1.655,1.66,20,0.0075
"Reference ligand (train+test, pose-weighted)",C-N,1.66,1.665,0,0.0
"Reference ligand (train+test, pose-weighted)",C-N,1.665,1.67,0,0.0
"Reference ligand (train+test, pose-weighted)",C-N,1.67,1.675,0,0.0
"Reference ligand (train+test, pose-weighted)",C-N,1.675,1.68,36,0.0136
"Reference ligand (train+test, pose-weighted)",C-N,1.68,1.685,2,0.0008
"Reference ligand (train+test, pose-weighted)",C-N,1.685,1.69,0,0.0
"Reference ligand (train+test, pose-weighted)",C-N,1.69,inf,55,0.0208
"Reference ligand (train+test, pose-weighted)",C=N,-inf,1.1,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.1,1.105,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.105,1.11,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.11,1.115,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.115,1.12,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.12,1.125,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.125,1.13,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.13,1.135,5,0.0215
"Reference ligand (train+test, pose-weighted)",C=N,1.135,1.14,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.14,1.145,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.145,1.15,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.15,1.155,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.155,1.16,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.16,1.165,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.165,1.17,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.17,1.175,29,0.1244
"Reference ligand (train+test, pose-weighted)",C=N,1.175,1.18,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.18,1.185,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.185,1.19,2,0.0086
"Reference ligand (train+test, pose-weighted)",C=N,1.19,1.195,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.195,1.2,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.2,1.205,29,0.1244
"Reference ligand (train+test, pose-weighted)",C=N,1.205,1.21,1,0.0043
"Reference ligand (train+test, pose-weighted)",C=N,1.21,1.215,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.215,1.22,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.22,1.225,40,0.1716
"Reference ligand (train+test, pose-weighted)",C=N,1.225,1.23,3,0.0129
"Reference ligand (train+test, pose-weighted)",C=N,1.23,1.235,1,0.0043
"Reference ligand (train+test, pose-weighted)",C=N,1.235,1.24,1,0.0043
"Reference ligand (train+test, pose-weighted)",C=N,1.24,1.245,43,0.1845
"Reference ligand (train+test, pose-weighted)",C=N,1.245,1.25,51,0.2188
"Reference ligand (train+test, pose-weighted)",C=N,1.25,1.255,91,0.3905
"Reference ligand (train+test, pose-weighted)",C=N,1.255,1.26,160,0.6865
"Reference ligand (train+test, pose-weighted)",C=N,1.26,1.265,220,0.944
"Reference ligand (train+test, pose-weighted)",C=N,1.265,1.27,193,0.8281
"Reference ligand (train+test, pose-weighted)",C=N,1.27,1.275,221,0.9483
"Reference ligand (train+test, pose-weighted)",C=N,1.275,1.28,177,0.7595
"Reference ligand (train+test, pose-weighted)",C=N,1.28,1.285,82,0.3518
"Reference ligand (train+test, pose-weighted)",C=N,1.285,1.29,145,0.6222
"Reference ligand (train+test, pose-weighted)",C=N,1.29,1.295,341,1.4631
"Reference ligand (train+test, pose-weighted)",C=N,1.295,1.3,416,1.7849
"Reference ligand (train+test, pose-weighted)",C=N,1.3,1.305,416,1.7849
"Reference ligand (train+test, pose-weighted)",C=N,1.305,1.31,528,2.2655
"Reference ligand (train+test, pose-weighted)",C=N,1.31,1.315,524,2.2483
"Reference ligand (train+test, pose-weighted)",C=N,1.315,1.32,618,2.6517
"Reference ligand (train+test, pose-weighted)",C=N,1.32,1.325,971,4.1663
"Reference ligand (train+test, pose-weighted)",C=N,1.325,1.33,1092,4.6855
"Reference ligand (train+test, pose-weighted)",C=N,1.33,1.335,1484,6.3675
"Reference ligand (train+test, pose-weighted)",C=N,1.335,1.34,1748,7.5002
"Reference ligand (train+test, pose-weighted)",C=N,1.34,1.345,1711,7.3415
"Reference ligand (train+test, pose-weighted)",C=N,1.345,1.35,1251,5.3677
"Reference ligand (train+test, pose-weighted)",C=N,1.35,1.355,1291,5.5393
"Reference ligand (train+test, pose-weighted)",C=N,1.355,1.36,1135,4.87
"Reference ligand (train+test, pose-weighted)",C=N,1.36,1.365,1683,7.2213
"Reference ligand (train+test, pose-weighted)",C=N,1.365,1.37,1040,4.4624
"Reference ligand (train+test, pose-weighted)",C=N,1.37,1.375,830,3.5613
"Reference ligand (train+test, pose-weighted)",C=N,1.375,1.38,673,2.8877
"Reference ligand (train+test, pose-weighted)",C=N,1.38,1.385,668,2.8662
"Reference ligand (train+test, pose-weighted)",C=N,1.385,1.39,543,2.3299
"Reference ligand (train+test, pose-weighted)",C=N,1.39,1.395,300,1.2872
"Reference ligand (train+test, pose-weighted)",C=N,1.395,1.4,413,1.7721
"Reference ligand (train+test, pose-weighted)",C=N,1.4,1.405,228,0.9783
"Reference ligand (train+test, pose-weighted)",C=N,1.405,1.41,234,1.004
"Reference ligand (train+test, pose-weighted)",C=N,1.41,1.415,265,1.137
"Reference ligand (train+test, pose-weighted)",C=N,1.415,1.42,131,0.5621
"Reference ligand (train+test, pose-weighted)",C=N,1.42,1.425,214,0.9182
"Reference ligand (train+test, pose-weighted)",C=N,1.425,1.43,126,0.5406
"Reference ligand (train+test, pose-weighted)",C=N,1.43,1.435,79,0.339
"Reference ligand (train+test, pose-weighted)",C=N,1.435,1.44,63,0.2703
"Reference ligand (train+test, pose-weighted)",C=N,1.44,1.445,24,0.103
"Reference ligand (train+test, pose-weighted)",C=N,1.445,1.45,62,0.266
"Reference ligand (train+test, pose-weighted)",C=N,1.45,1.455,80,0.3433
"Reference ligand (train+test, pose-weighted)",C=N,1.455,1.46,149,0.6393
"Reference ligand (train+test, pose-weighted)",C=N,1.46,1.465,184,0.7895
"Reference ligand (train+test, pose-weighted)",C=N,1.465,1.47,75,0.3218
"Reference ligand (train+test, pose-weighted)",C=N,1.47,1.475,49,0.2102
"Reference ligand (train+test, pose-weighted)",C=N,1.475,1.48,13,0.0558
"Reference ligand (train+test, pose-weighted)",C=N,1.48,1.485,23,0.0987
"Reference ligand (train+test, pose-weighted)",C=N,1.485,1.49,28,0.1201
"Reference ligand (train+test, pose-weighted)",C=N,1.49,1.495,2,0.0086
"Reference ligand (train+test, pose-weighted)",C=N,1.495,1.5,39,0.1673
"Reference ligand (train+test, pose-weighted)",C=N,1.5,1.505,6,0.0257
"Reference ligand (train+test, pose-weighted)",C=N,1.505,1.51,8,0.0343
"Reference ligand (train+test, pose-weighted)",C=N,1.51,1.515,35,0.1502
"Reference ligand (train+test, pose-weighted)",C=N,1.515,1.52,5,0.0215
"Reference ligand (train+test, pose-weighted)",C=N,1.52,1.525,6,0.0257
"Reference ligand (train+test, pose-weighted)",C=N,1.525,1.53,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.53,1.535,4,0.0172
"Reference ligand (train+test, pose-weighted)",C=N,1.535,1.54,2,0.0086
"Reference ligand (train+test, pose-weighted)",C=N,1.54,1.545,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.545,1.55,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.55,1.555,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.555,1.56,1,0.0043
"Reference ligand (train+test, pose-weighted)",C=N,1.56,1.565,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.565,1.57,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.57,1.575,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.575,1.58,1,0.0043
"Reference ligand (train+test, pose-weighted)",C=N,1.58,1.585,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.585,1.59,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.59,1.595,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.595,1.6,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.6,1.605,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.605,1.61,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.61,1.615,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.615,1.62,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.62,1.625,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.625,1.63,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.63,1.635,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.635,1.64,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.64,1.645,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.645,1.65,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.65,1.655,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.655,1.66,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.66,1.665,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.665,1.67,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.67,1.675,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.675,1.68,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.68,1.685,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.685,1.69,0,0.0
"Reference ligand (train+test, pose-weighted)",C=N,1.69,inf,0,0.0
"Reference ligand (train+test, pose-weighted)",C-O,-inf,1.1,119,0.0478
"Reference ligand (train+test, pose-weighted)",C-O,1.1,1.105,11,0.0044
"Reference ligand (train+test, pose-weighted)",C-O,1.105,1.11,16,0.0064
"Reference ligand (train+test, pose-weighted)",C-O,1.11,1.115,0,0.0
"Reference ligand (train+test, pose-weighted)",C-O,1.115,1.12,0,0.0
"Reference ligand (train+test, pose-weighted)",C-O,1.12,1.125,16,0.0064
