set,pairs,dist_lo,dist_hi,n,pct
"Reference ligand (train+test, pose-weighted)",CC_2A,1.2525,1.2727,360,0.0254
"Reference ligand (train+test, pose-weighted)",CC_2A,1.2727,1.2929,1092,0.077
"Reference ligand (train+test, pose-weighted)",CC_2A,1.2929,1.3131,2106,0.1485
"Reference ligand (train+test, pose-weighted)",CC_2A,1.3131,1.3333,9373,0.661
"Reference ligand (train+test, pose-weighted)",CC_2A,1.3333,1.3535,24319,1.715
"Reference ligand (train+test, pose-weighted)",CC_2A,1.3535,1.3737,50869,3.5873
"Reference ligand (train+test, pose-weighted)",CC_2A,1.3737,1.3939,290574,20.4912
"Reference ligand (train+test, pose-weighted)",CC_2A,1.3939,1.4141,265563,18.7275
"Reference ligand (train+test, pose-weighted)",CC_2A,1.4141,1.4343,99273,7.0007
"Reference ligand (train+test, pose-weighted)",CC_2A,1.4343,1.4545,47082,3.3202
"Reference ligand (train+test, pose-weighted)",CC_2A,1.4545,1.4747,48314,3.4071
"Reference ligand (train+test, pose-weighted)",CC_2A,1.4747,1.4949,67598,4.767
"Reference ligand (train+test, pose-weighted)",CC_2A,1.4949,1.5152,123370,8.7
"Reference ligand (train+test, pose-weighted)",CC_2A,1.5152,1.5354,209201,14.7528
"Reference ligand (train+test, pose-weighted)",CC_2A,1.5354,1.5556,112852,7.9583
"Reference ligand (train+test, pose-weighted)",CC_2A,1.5556,1.5758,37263,2.6278
"Reference ligand (train+test, pose-weighted)",CC_2A,1.5758,1.596,12989,0.916
"Reference ligand (train+test, pose-weighted)",CC_2A,1.596,1.6162,5462,0.3852
"Reference ligand (train+test, pose-weighted)",CC_2A,1.6162,1.6364,2685,0.1893
"Reference ligand (train+test, pose-weighted)",CC_2A,1.6364,1.6566,1226,0.0865
"Reference ligand (train+test, pose-weighted)",CC_2A,1.6566,1.6768,765,0.0539
"Reference ligand (train+test, pose-weighted)",CC_2A,1.6768,1.697,587,0.0414
"Reference ligand (train+test, pose-weighted)",CC_2A,1.697,1.7172,234,0.0165
"Reference ligand (train+test, pose-weighted)",CC_2A,1.7172,1.7374,164,0.0116
"Reference ligand (train+test, pose-weighted)",CC_2A,1.7374,1.7576,204,0.0144
"Reference ligand (train+test, pose-weighted)",CC_2A,1.7576,1.7778,76,0.0054
"Reference ligand (train+test, pose-weighted)",CC_2A,1.7778,1.798,80,0.0056
"Reference ligand (train+test, pose-weighted)",CC_2A,1.798,1.8182,74,0.0052
"Reference ligand (train+test, pose-weighted)",CC_2A,1.8182,1.8384,168,0.0118
"Reference ligand (train+test, pose-weighted)",CC_2A,1.8384,1.8586,153,0.0108
"Reference ligand (train+test, pose-weighted)",CC_2A,1.8586,1.8788,60,0.0042
"Reference ligand (train+test, pose-weighted)",CC_2A,1.8788,1.899,124,0.0087
"Reference ligand (train+test, pose-weighted)",CC_2A,1.899,1.9192,119,0.0084
"Reference ligand (train+test, pose-weighted)",CC_2A,1.9192,1.9394,109,0.0077
"Reference ligand (train+test, pose-weighted)",CC_2A,1.9394,1.9596,143,0.0101
"Reference ligand (train+test, pose-weighted)",CC_2A,1.9596,1.9798,110,0.0078
"Reference ligand (train+test, pose-weighted)",CC_2A,1.9798,2.0,143,0.0101
Reference ligand (test),All_12A,0.0,0.1212,0,0.0
Reference ligand (test),All_12A,0.1212,0.2424,0,0.0
Reference ligand (test),All_12A,0.2424,0.3636,0,0.0
Reference ligand (test),All_12A,0.3636,0.4848,0,0.0
Reference ligand (test),All_12A,0.4848,0.6061,0,0.0
Reference ligand (test),All_12A,0.6061,0.7273,0,0.0
Reference ligand (test),All_12A,0.7273,0.8485,0,0.0
Reference ligand (test),All_12A,0.8485,0.9697,0,0.0
Reference ligand (test),All_12A,0.9697,1.0909,0,0.0
Reference ligand (test),All_12A,1.0909,1.2121,17,0.0605
Reference ligand (test),All_12A,1.2121,1.3333,203,0.723
Reference ligand (test),All_12A,1.3333,1.4545,1124,4.0034
Reference ligand (test),All_12A,1.4545,1.5758,911,3.2448
Reference ligand (test),All_12A,1.5758,1.697,120,0.4274
Reference ligand (test),All_12A,1.697,1.8182,36,0.1282
Reference ligand (test),All_12A,1.8182,1.9394,9,0.0321
Reference ligand (test),All_12A,1.9394,2.0606,3,0.0107
Reference ligand (test),All_12A,2.0606,2.1818,60,0.2137
Reference ligand (test),All_12A,2.1818,2.303,254,0.9047
Reference ligand (test),All_12A,2.303,2.4242,1110,3.9536
Reference ligand (test),All_12A,2.4242,2.5455,1354,4.8226
Reference ligand (test),All_12A,2.5455,2.6667,580,2.0658
Reference ligand (test),All_12A,2.6667,2.7879,434,1.5458
Reference ligand (test),All_12A,2.7879,2.9091,417,1.4853
Reference ligand (test),All_12A,2.9091,3.0303,277,0.9866
Reference ligand (test),All_12A,3.0303,3.1515,268,0.9546
Reference ligand (test),All_12A,3.1515,3.2727,271,0.9652
Reference ligand (test),All_12A,3.2727,3.3939,236,0.8406
Reference ligand (test),All_12A,3.3939,3.5152,312,1.1113
Reference ligand (test),All_12A,3.5152,3.6364,549,1.9554
Reference ligand (test),All_12A,3.6364,3.7576,663,2.3614
Reference ligand (test),All_12A,3.7576,3.8788,619,2.2047
Reference ligand (test),All_12A,3.8788,4.0,352,1.2537
Reference ligand (test),All_12A,4.0,4.1212,337,1.2003
Reference ligand (test),All_12A,4.1212,4.2424,413,1.471
Reference ligand (test),All_12A,4.2424,4.3636,452,1.6099
Reference ligand (test),All_12A,4.3636,4.4848,460,1.6384
Reference ligand (test),All_12A,4.4848,4.6061,511,1.8201
Reference ligand (test),All_12A,4.6061,4.7273,484,1.7239
Reference ligand (test),All_12A,4.7273,4.8485,545,1.9412
Reference ligand (test),All_12A,4.8485,4.9697,541,1.9269
Reference ligand (test),All_12A,4.9697,5.0909,494,1.7595
Reference ligand (test),All_12A,5.0909,5.2121,430,1.5316
Reference ligand (test),All_12A,5.2121,5.3333,398,1.4176
Reference ligand (test),All_12A,5.3333,5.4545,339,1.2074
Reference ligand (test),All_12A,5.4545,5.5758,388,1.382
Reference ligand (test),All_12A,5.5758,5.697,388,1.382
Reference ligand (test),All_12A,5.697,5.8182,408,1.4532
Reference ligand (test),All_12A,5.8182,5.9394,407,1.4496
Reference ligand (test),All_12A,5.9394,6.0606,418,1.4888
Reference ligand (test),All_12A,6.0606,6.1818,368,1.3107
Reference ligand (test),All_12A,6.1818,6.303,365,1.3
Reference ligand (test),All_12A,6.303,6.4242,357,1.2715
Reference ligand (test),All_12A,6.4242,6.5455,364,1.2965
Reference ligand (test),All_12A,6.5455,6.6667,375,1.3357
Reference ligand (test),All_12A,6.6667,6.7879,383,1.3642
Reference ligand (test),All_12A,6.7879,6.9091,340,1.211
Reference ligand (test),All_12A,6.9091,7.0303,351,1.2502
Reference ligand (test),All_12A,7.0303,7.1515,321,1.1433
Reference ligand (test),All_12A,7.1515,7.2727,332,1.1825
Reference ligand (test),All_12A,7.2727,7.3939,296,1.0543
Reference ligand (test),All_12A,7.3939,7.5152,297,1.0578
Reference ligand (test),All_12A,7.5152,7.6364,283,1.008
Reference ligand (test),All_12A,7.6364,7.7576,296,1.0543
Reference ligand (test),All_12A,7.7576,7.8788,255,0.9082
Reference ligand (test),All_12A,7.8788,8.0,273,0.9724
Reference ligand (test),All_12A,8.0,8.1212,244,0.8691
Reference ligand (test),All_12A,8.1212,8.2424,275,0.9795
Reference ligand (test),All_12A,8.2424,8.3636,239,0.8513
Reference ligand (test),All_12A,8.3636,8.4848,212,0.7551
Reference ligand (test),All_12A,8.4848,8.6061,243,0.8655
Reference ligand (test),All_12A,8.6061,8.7273,228,0.8121
Reference ligand (test),All_12A,8.7273,8.8485,220,0.7836
Reference ligand (test),All_12A,8.8485,8.9697,192,0.6839
Reference ligand (test),All_12A,8.9697,9.0909,223,0.7943
Reference ligand (test),All_12A,9.0909,9.2121,197,0.7017
Reference ligand (test),All_12A,9.2121,9.3333,198,0.7052
Reference ligand (test),All_12A,9.3333,9.4545,150,0.5343
Reference ligand (test),All_12A,9.4545,9.5758,154,0.5485
Reference ligand (test),All_12A,9.5758,9.697,153,0.5449
Reference ligand (test),All_12A,9.697,9.8182,162,0.577
Reference ligand (test),All_12A,9.8182,9.9394,139,0.4951
Reference ligand (test),All_12A,9.9394,10.0606,163,0.5806
Reference ligand (test),All_12A,10.0606,10.1818,147,0.5236
Reference ligand (test),All_12A,10.1818,10.303,149,0.5307
Reference ligand (test),All_12A,10.303,10.4242,144,0.5129
Reference ligand (test),All_12A,10.4242,10.5455,126,0.4488
Reference ligand (test),All_12A,10.5455,10.6667,136,0.4844
Reference ligand (test),All_12A,10.6667,10.7879,130,0.463
Reference ligand (test),All_12A,10.7879,10.9091,113,0.4025
Reference ligand (test),All_12A,10.9091,11.0303,101,0.3597
Reference ligand (test),All_12A,11.0303,11.1515,112,0.3989
Reference ligand (test),All_12A,11.1515,11.2727,104,0.3704
Reference ligand (test),All_12A,11.2727,11.3939,118,0.4203
Reference ligand (test),All_12A,11.3939,11.5152,105,0.374
Reference ligand (test),All_12A,11.5152,11.6364,91,0.3241
Reference ligand (test),All_12A,11.6364,11.7576,95,0.3384
Reference ligand (test),All_12A,11.7576,11.8788,76,0.2707
Reference ligand (test),All_12A,11.8788,12.0,89,0.317
Reference ligand (test),CC_2A,0.0,0.0202,0,0.0
Reference ligand (test),CC_2A,0.0202,0.0404,0,0.0
Reference ligand (test),CC_2A,0.0404,0.0606,0,0.0
Reference ligand (test),CC_2A,0.0606,0.0808,0,0.0
Reference ligand (test),CC_2A,0.0808,0.101,0,0.0
Reference ligand (test),CC_2A,0.101,0.1212,0,0.0
Reference ligand (test),CC_2A,0.1212,0.1414,0,0.0
Reference ligand (test),CC_2A,0.1414,0.1616,0,0.0
Reference ligand (test),CC_2A,0.1616,0.1818,0,0.0
Reference ligand (test),CC_2A,0.1818,0.202,0,0.0
Reference ligand (test),CC_2A,0.202,0.2222,0,0.0
Reference ligand (test),CC_2A,0.2222,0.2424,0,0.0
Reference ligand (test),CC_2A,0.2424,0.2626,0,0.0
Reference ligand (test),CC_2A,0.2626,0.2828,0,0.0
Reference ligand (test),CC_2A,0.2828,0.303,0,0.0
Reference ligand (test),CC_2A,0.303,0.3232,0,0.0
Reference ligand (test),CC_2A,0.3232,0.3434,0,0.0
Reference ligand (test),CC_2A,0.3434,0.3636,0,0.0
Reference ligand (test),CC_2A,0.3636,0.3838,0,0.0
Reference ligand (test),CC_2A,0.3838,0.404,0,0.0
Reference ligand (test),CC_2A,0.404,0.4242,0,0.0
Reference ligand (test),CC_2A,0.4242,0.4444,0,0.0
Reference ligand (test),CC_2A,0.4444,0.4646,0,0.0
Reference ligand (test),CC_2A,0.4646,0.4848,0,0.0
Reference ligand (test),CC_2A,0.4848,0.5051,0,0.0
Reference ligand (test),CC_2A,0.5051,0.5253,0,0.0
Reference ligand (test),CC_2A,0.5253,0.5455,0,0.0
Reference ligand (test),CC_2A,0.5455,0.5657,0,0.0
Reference ligand (test),CC_2A,0.5657,0.5859,0,0.0
Reference ligand (test),CC_2A,0.5859,0.6061,0,0.0
Reference ligand (test),CC_2A,0.6061,0.6263,0,0.0
Reference ligand (test),CC_2A,0.6263,0.6465,0,0.0
Reference ligand (test),CC_2A,0.6465,0.6667,0,0.0
Reference ligand (test),CC_2A,0.6667,0.6869,0,0.0
Reference ligand (test),CC_2A,0.6869,0.7071,0,0.0
Reference ligand (test),CC_2A,0.7071,0.7273,0,0.0
Reference ligand (test),CC_2A,0.7273,0.7475,0,0.0
Reference ligand (test),CC_2A,0.7475,0.7677,0,0.0
Reference ligand (test),CC_2A,0.7677,0.7879,0,0.0
Reference ligand (test),CC_2A,0.7879,0.8081,0,0.0
Reference ligand (test),CC_2A,0.8081,0.8283,0,0.0
Reference ligand (test),CC_2A,0.8283,0.8485,0,0.0
Reference ligand (test),CC_2A,0.8485,0.8687,0,0.0
Reference ligand (test),CC_2A,0.8687,0.8889,0,0.0
Reference ligand (test),CC_2A,0.8889,0.9091,0,0.0
Reference ligand (test),CC_2A,0.9091,0.9293,0,0.0
Reference ligand (test),CC_2A,0.9293,0.9495,0,0.0
Reference ligand (test),CC_2A,0.9495,0.9697,0,0.0
Reference ligand (test),CC_2A,0.9697,0.9899,0,0.0
Reference ligand (test),CC_2A,0.9899,1.0101,0,0.0
Reference ligand (test),CC_2A,1.0101,1.0303,0,0.0
Reference ligand (test),CC_2A,1.0303,1.0505,0,0.0
Reference ligand (test),CC_2A,1.0505,1.0707,0,0.0
Reference ligand (test),CC_2A,1.0707,1.0909,0,0.0
Reference ligand (test),CC_2A,1.0909,1.1111,0,0.0
Reference ligand (test),CC_2A,1.1111,1.1313,0,0.0
Reference ligand (test),CC_2A,1.1313,1.1515,0,0.0
Reference ligand (test),CC_2A,1.1515,1.1717,0,0.0
Reference ligand (test),CC_2A,1.1717,1.1919,0,0.0
Reference ligand (test),CC_2A,1.1919,1.2121,0,0.0
Reference ligand (test),CC_2A,1.2121,1.2323,1,0.0795
Reference ligand (test),CC_2A,1.2323,1.2525,0,0.0
Reference ligand (test),CC_2A,1.2525,1.2727,1,0.0795
Reference ligand (test),CC_2A,1.2727,1.2929,1,0.0795
Reference ligand (test),CC_2A,1.2929,1.3131,2,0.159
Reference ligand (test),CC_2A,1.3131,1.3333,15,1.1924
Reference ligand (test),CC_2A,1.3333,1.3535,16,1.2719
Reference ligand (test),CC_2A,1.3535,1.3737,32,2.5437
Reference ligand (test),CC_2A,1.3737,1.3939,192,15.2623
Reference ligand (test),CC_2A,1.3939,1.4141,171,13.593
Reference ligand (test),CC_2A,1.4141,1.4343,71,5.6439
Reference ligand (test),CC_2A,1.4343,1.4545,36,2.8617
Reference ligand (test),CC_2A,1.4545,1.4747,35,2.7822
Reference ligand (test),CC_2A,1.4747,1.4949,71,5.6439
Reference ligand (test),CC_2A,1.4949,1.5152,128,10.1749
Reference ligand (test),CC_2A,1.5152,1.5354,283,22.496
Reference ligand (test),CC_2A,1.5354,1.5556,119,9.4595
Reference ligand (test),CC_2A,1.5556,1.5758,50,3.9746
Reference ligand (test),CC_2A,1.5758,1.596,12,0.9539
Reference ligand (test),CC_2A,1.596,1.6162,9,0.7154
Reference ligand (test),CC_2A,1.6162,1.6364,4,0.318
Reference ligand (test),CC_2A,1.6364,1.6566,3,0.2385
Reference ligand (test),CC_2A,1.6566,1.6768,3,0.2385
Reference ligand (test),CC_2A,1.6768,1.697,3,0.2385
Reference ligand (test),CC_2A,1.697,1.7172,0,0.0
Reference ligand (test),CC_2A,1.7172,1.7374,0,0.0
Reference ligand (test),CC_2A,1.7374,1.7576,0,0.0
Reference ligand (test),CC_2A,1.7576,1.7778,0,0.0
Reference ligand (test),CC_2A,1.7778,1.798,0,0.0
Reference ligand (test),CC_2A,1.798,1.8182,0,0.0
Reference ligand (test),CC_2A,1.8182,1.8384,0,0.0
Reference ligand (test),CC_2A,1.8384,1.8586,0,0.0
Reference ligand (test),CC_2A,1.8586,1.8788,0,0.0
Reference ligand (test),CC_2A,1.8788,1.899,0,0.0
Reference ligand (test),CC_2A,1.899,1.9192,0,0.0
Reference ligand (test),CC_2A,1.9192,1.9394,0,0.0
Reference ligand (test),CC_2A,1.9394,1.9596,0,0.0
Reference ligand (test),CC_2A,1.9596,1.9798,0,0.0
Reference ligand (test),CC_2A,1.9798,2.0,0,0.0
AR,All_12A,0.0,0.1212,0,0.0
AR,All_12A,0.1212,0.2424,0,0.0
AR,All_12A,0.2424,0.3636,0,0.0
AR,All_12A,0.3636,0.4848,0,0.0
AR,All_12A,0.4848,0.6061,2,0.0002
AR,All_12A,0.6061,0.7273,2,0.0002
AR,All_12A,0.7273,0.8485,0,0.0
AR,All_12A,0.8485,0.9697,7,0.0006
AR,All_12A,0.9697,1.0909,217,0.0175
AR,All_12A,1.0909,1.2121,2035,0.164
AR,All_12A,1.2121,1.3333,16042,1.2929
AR,All_12A,1.3333,1.4545,73508,5.9242
AR,All_12A,1.4545,1.5758,49699,4.0054
AR,All_12A,1.5758,1.697,3987,0.3213
AR,All_12A,1.697,1.8182,638,0.0514
AR,All_12A,1.8182,1.9394,135,0.0109
AR,All_12A,1.9394,2.0606,829,0.0668
AR,All_12A,2.0606,2.1818,5394,0.4347
AR,All_12A,2.1818,2.303,25037,2.0178
AR,All_12A,2.303,2.4242,73548,5.9274
AR,All_12A,2.4242,2.5455,77202,6.2219
AR,All_12A,2.5455,2.6667,40887,3.2952
AR,All_12A,2.6667,2.7879,21059,1.6972
AR,All_12A,2.7879,2.9091,19258,1.5521
AR,All_12A,2.9091,3.0303,14245,1.148
AR,All_12A,3.0303,3.1515,10165,0.8192
AR,All_12A,3.1515,3.2727,7024,0.5661
AR,All_12A,3.2727,3.3939,8205,0.6613
AR,All_12A,3.3939,3.5152,17831,1.437
AR,All_12A,3.5152,3.6364,38371,3.0924
AR,All_12A,3.6364,3.7576,48108,3.8771
AR,All_12A,3.7576,3.8788,30123,2.4277
AR,All_12A,3.8788,4.0,14610,1.1775
AR,All_12A,4.0,4.1212,14844,1.1963
AR,All_12A,4.1212,4.2424,21189,1.7077
AR,All_12A,4.2424,4.3636,21735,1.7517
AR,All_12A,4.3636,4.4848,18097,1.4585
AR,All_12A,4.4848,4.6061,17854,1.4389
AR,All_12A,4.6061,4.7273,23094,1.8612
AR,All_12A,4.7273,4.8485,30240,2.4371
AR,All_12A,4.8485,4.9697,28847,2.3249
AR,All_12A,4.9697,5.0909,21246,1.7123
AR,All_12A,5.0909,5.2121,15624,1.2592
AR,All_12A,5.2121,5.3333,11249,0.9066
AR,All_12A,5.3333,5.4545,10736,0.8652
AR,All_12A,5.4545,5.5758,12715,1.0247
AR,All_12A,5.5758,5.697,14603,1.1769
AR,All_12A,5.697,5.8182,16007,1.29
AR,All_12A,5.8182,5.9394,17199,1.3861
AR,All_12A,5.9394,6.0606,19451,1.5676
AR,All_12A,6.0606,6.1818,18018,1.4521
AR,All_12A,6.1818,6.303,15962,1.2864
AR,All_12A,6.303,6.4242,15136,1.2198
AR,All_12A,6.4242,6.5455,13937,1.1232
AR,All_12A,6.5455,6.6667,11687,0.9419
AR,All_12A,6.6667,6.7879,11770,0.9486
AR,All_12A,6.7879,6.9091,11686,0.9418
AR,All_12A,6.9091,7.0303,12078,0.9734
AR,All_12A,7.0303,7.1515,13046,1.0514
AR,All_12A,7.1515,7.2727,12544,1.011
AR,All_12A,7.2727,7.3939,11261,0.9076
AR,All_12A,7.3939,7.5152,9818,0.7913
AR,All_12A,7.5152,7.6364,8484,0.6837
AR,All_12A,7.6364,7.7576,8619,0.6946
AR,All_12A,7.7576,7.8788,8243,0.6643
AR,All_12A,7.8788,8.0,7990,0.6439
AR,All_12A,8.0,8.1212,8373,0.6748
AR,All_12A,8.1212,8.2424,8807,0.7098
AR,All_12A,8.2424,8.3636,8523,0.6869
AR,All_12A,8.3636,8.4848,8048,0.6486
AR,All_12A,8.4848,8.6061,7449,0.6003
AR,All_12A,8.6061,8.7273,6898,0.5559
AR,All_12A,8.7273,8.8485,5920,0.4771
AR,All_12A,8.8485,8.9697,5516,0.4445
AR,All_12A,8.9697,9.0909,5281,0.4256
AR,All_12A,9.0909,9.2121,5099,0.4109
AR,All_12A,9.2121,9.3333,4916,0.3962
AR,All_12A,9.3333,9.4545,4522,0.3644
AR,All_12A,9.4545,9.5758,4652,0.3749
AR,All_12A,9.5758,9.697,4415,0.3558
AR,All_12A,9.697,9.8182,3968,0.3198
AR,All_12A,9.8182,9.9394,3858,0.3109
AR,All_12A,9.9394,10.0606,3366,0.2713
AR,All_12A,10.0606,10.1818,3257,0.2625
AR,All_12A,10.1818,10.303,3366,0.2713
AR,All_12A,10.303,10.4242,3123,0.2517
AR,All_12A,10.4242,10.5455,3115,0.251
AR,All_12A,10.5455,10.6667,2873,0.2315
AR,All_12A,10.6667,10.7879,2676,0.2157
AR,All_12A,10.7879,10.9091,2619,0.2111
AR,All_12A,10.9091,11.0303,2371,0.1911
AR,All_12A,11.0303,11.1515,2177,0.1754
AR,All_12A,11.1515,11.2727,2151,0.1734
AR,All_12A,11.2727,11.3939,1902,0.1533
AR,All_12A,11.3939,11.5152,1933,0.1558
AR,All_12A,11.5152,11.6364,1739,0.1402
AR,All_12A,11.6364,11.7576,1548,0.1248
AR,All_12A,11.7576,11.8788,1683,0.1356
AR,All_12A,11.8788,12.0,1489,0.12
AR,CC_2A,0.0,0.0202,0,0.0
AR,CC_2A,0.0202,0.0404,0,0.0
AR,CC_2A,0.0404,0.0606,0,0.0
AR,CC_2A,0.0606,0.0808,0,0.0
AR,CC_2A,0.0808,0.101,0,0.0
AR,CC_2A,0.101,0.1212,0,0.0
AR,CC_2A,0.1212,0.1414,0,0.0
AR,CC_2A,0.1414,0.1616,0,0.0
AR,CC_2A,0.1616,0.1818,0,0.0
AR,CC_2A,0.1818,0.202,0,0.0
AR,CC_2A,0.202,0.2222,0,0.0
AR,CC_2A,0.2222,0.2424,0,0.0
AR,CC_2A,0.2424,0.2626,0,0.0
AR,CC_2A,0.2626,0.2828,0,0.0
AR,CC_2A,0.2828,0.303,0,0.0
AR,CC_2A,0.303,0.3232,0,0.0
AR,CC_2A,0.3232,0.3434,0,0.0
AR,CC_2A,0.3434,0.3636,0,0.0
AR,CC_2A,0.3636,0.3838,0,0.0
AR,CC_2A,0.3838,0.404,0,0.0
AR,CC_2A,0.404,0.4242,0,0.0
AR,CC_2A,0.4242,0.4444,0,0.0
AR,CC_2A,0.4444,0.4646,0,0.0
AR,CC_2A,0.4646,0.4848,0,0.0
AR,CC_2A,0.4848,0.5051,0,0.0
AR,CC_2A,0.5051,0.5253,0,0.0
AR,CC_2A,0.5253,0.5455,0,0.0
AR,CC_2A,0.5455,0.5657,0,0.0
AR,CC_2A,0.5657,0.5859,1,0.0012
AR,CC_2A,0.5859,0.6061,0,0.0
AR,CC_2A,0.6061,0.6263,1,0.0012
AR,CC_2A,0.6263,0.6465,0,0.0
AR,CC_2A,0.6465,0.6667,1,0.0012
AR,CC_2A,0.6667,0.6869,0,0.0
AR,CC_2A,0.6869,0.7071,0,0.0
AR,CC_2A,0.7071,0.7273,0,0.0
AR,CC_2A,0.7273,0.7475,0,0.0
AR,CC_2A,0.7475,0.7677,0,0.0
AR,CC_2A,0.7677,0.7879,0,0.0
AR,CC_2A,0.7879,0.8081,0,0.0
AR,CC_2A,0.8081,0.8283,0,0.0
AR,CC_2A,0.8283,0.8485,0,0.0
AR,CC_2A,0.8485,0.8687,0,0.0
AR,CC_2A,0.8687,0.8889,0,0.0
AR,CC_2A,0.8889,0.9091,0,0.0
AR,CC_2A,0.9091,0.9293,1,0.0012
AR,CC_2A,0.9293,0.9495,0,0.0
AR,CC_2A,0.9495,0.9697,0,0.0
AR,CC_2A,0.9697,0.9899,4,0.0049
AR,CC_2A,0.9899,1.0101,1,0.0012
AR,CC_2A,1.0101,1.0303,0,0.0
AR,CC_2A,1.0303,1.0505,13,0.0158
AR,CC_2A,1.0505,1.0707,3,0.0037
AR,CC_2A,1.0707,1.0909,5,0.0061
AR,CC_2A,1.0909,1.1111,7,0.0085
AR,CC_2A,1.1111,1.1313,2,0.0024
AR,CC_2A,1.1313,1.1515,16,0.0195
AR,CC_2A,1.1515,1.1717,17,0.0207
AR,CC_2A,1.1717,1.1919,25,0.0304
AR,CC_2A,1.1919,1.2121,45,0.0548
AR,CC_2A,1.2121,1.2323,58,0.0706
AR,CC_2A,1.2323,1.2525,128,0.1558
AR,CC_2A,1.2525,1.2727,214,0.2604
AR,CC_2A,1.2727,1.2929,521,0.6341
AR,CC_2A,1.2929,1.3131,871,1.06
AR,CC_2A,1.3131,1.3333,1311,1.5955
AR,CC_2A,1.3333,1.3535,2589,3.1508
AR,CC_2A,1.3535,1.3737,3224,3.9236
AR,CC_2A,1.3737,1.3939,5595,6.8091
AR,CC_2A,1.3939,1.4141,5408,6.5816
AR,CC_2A,1.4141,1.4343,8201,9.9806
AR,CC_2A,1.4343,1.4545,14254,17.3472
AR,CC_2A,1.4545,1.4747,11262,13.7059
AR,CC_2A,1.4747,1.4949,16393,19.9503
AR,CC_2A,1.4949,1.5152,5653,6.8797
AR,CC_2A,1.5152,1.5354,941,1.1452
AR,CC_2A,1.5354,1.5556,698,0.8495
AR,CC_2A,1.5556,1.5758,934,1.1367
AR,CC_2A,1.5758,1.596,800,0.9736
AR,CC_2A,1.596,1.6162,733,0.8921
AR,CC_2A,1.6162,1.6364,560,0.6815
AR,CC_2A,1.6364,1.6566,507,0.617
AR,CC_2A,1.6566,1.6768,385,0.4685
AR,CC_2A,1.6768,1.697,174,0.2118
AR,CC_2A,1.697,1.7172,205,0.2495
AR,CC_2A,1.7172,1.7374,142,0.1728
AR,CC_2A,1.7374,1.7576,63,0.0767
AR,CC_2A,1.7576,1.7778,48,0.0584
AR,CC_2A,1.7778,1.798,43,0.0523
AR,CC_2A,1.798,1.8182,38,0.0462
AR,CC_2A,1.8182,1.8384,14,0.017
AR,CC_2A,1.8384,1.8586,18,0.0219
AR,CC_2A,1.8586,1.8788,2,0.0024
AR,CC_2A,1.8788,1.899,3,0.0037
AR,CC_2A,1.899,1.9192,6,0.0073
AR,CC_2A,1.9192,1.9394,6,0.0073
AR,CC_2A,1.9394,1.9596,9,0.011
AR,CC_2A,1.9596,1.9798,8,0.0097
AR,CC_2A,1.9798,2.0,8,0.0097
Pocket2Mol,All_12A,0.0,0.1212,0,0.0
Pocket2Mol,All_12A,0.1212,0.2424,0,0.0
Pocket2Mol,All_12A,0.2424,0.3636,0,0.0
Pocket2Mol,All_12A,0.3636,0.4848,0,0.0
Pocket2Mol,All_12A,0.4848,0.6061,0,0.0
Pocket2Mol,All_12A,0.6061,0.7273,0,0.0
Pocket2Mol,All_12A,0.7273,0.8485,1,0.0001
Pocket2Mol,All_12A,0.8485,0.9697,110,0.007
Pocket2Mol,All_12A,0.9697,1.0909,709,0.045
Pocket2Mol,All_12A,1.0909,1.2121,6595,0.4189
Pocket2Mol,All_12A,1.2121,1.3333,34080,2.1649
Pocket2Mol,All_12A,1.3333,1.4545,77202,4.9042
Pocket2Mol,All_12A,1.4545,1.5758,34198,2.1724
Pocket2Mol,All_12A,1.5758,1.697,4457,0.2831
Pocket2Mol,All_12A,1.697,1.8182,1060,0.0673
Pocket2Mol,All_12A,1.8182,1.9394,712,0.0452
Pocket2Mol,All_12A,1.9394,2.0606,1889,0.12
Pocket2Mol,All_12A,2.0606,2.1818,8748,0.5557
Pocket2Mol,All_12A,2.1818,2.303,35743,2.2705
Pocket2Mol,All_12A,2.303,2.4242,95860,6.0894
Pocket2Mol,All_12A,2.4242,2.5455,72652,4.6151
Pocket2Mol,All_12A,2.5455,2.6667,27362,1.7381
Pocket2Mol,All_12A,2.6667,2.7879,34071,2.1643
Pocket2Mol,All_12A,2.7879,2.9091,29967,1.9036
Pocket2Mol,All_12A,2.9091,3.0303,14642,0.9301
Pocket2Mol,All_12A,3.0303,3.1515,10317,0.6554
Pocket2Mol,All_12A,3.1515,3.2727,9477,0.602
Pocket2Mol,All_12A,3.2727,3.3939,11607,0.7373
Pocket2Mol,All_12A,3.3939,3.5152,20526,1.3039
Pocket2Mol,All_12A,3.5152,3.6364,42346,2.69
Pocket2Mol,All_12A,3.6364,3.7576,56157,3.5673
Pocket2Mol,All_12A,3.7576,3.8788,27217,1.7289
Pocket2Mol,All_12A,3.8788,4.0,15860,1.0075
Pocket2Mol,All_12A,4.0,4.1212,25888,1.6445
Pocket2Mol,All_12A,4.1212,4.2424,40012,2.5417
Pocket2Mol,All_12A,4.2424,4.3636,28099,1.785
Pocket2Mol,All_12A,4.3636,4.4848,20710,1.3156
Pocket2Mol,All_12A,4.4848,4.6061,22664,1.4397
Pocket2Mol,All_12A,4.6061,4.7273,29050,1.8454
