plinder_pdb	plinder_chain	cohort_pdb	cohort_chain	pident	query_coverage	subject_coverage	alignment_length	query_length	subject_length	evalue	bitscore
4l90	4l90_A	2xdl	2xdl__chain0	100.0	100.0	100.0	208	208	208	3.04e-147	403.0
4l91	4l91_A	4cwn	4cwn__chain0	100.0	100.0	100.0	207	207	207	5.69e-147	402.0
4l93	4l93_A	4cwn	4cwn__chain0	100.0	100.0	100.0	207	207	207	5.69e-147	402.0
4l94	4l94_A	4cwn	4cwn__chain0	100.0	100.0	100.0	207	207	207	5.69e-147	402.0
4l96	4l96_A	5jy3	5jy3__chain0	31.4	71.2	80.3	194	260	228	3.85e-22	86.7
4l98	4l98_A	5jy3	5jy3__chain0	31.4	75.8	80.3	194	244	228	2.75e-22	86.7
4l9i	4l9i_B	4uj1	4uj1__chain0	35.9	58.2	81.9	287	493	337	4.5599999999999996e-54	180.0
4lae	4lae_X	2w9h	2w9h__chain0	100.0	100.0	99.4	157	157	158	2.48e-119	328.0
4lag	4lag_X	2w9h	2w9h__chain0	100.0	100.0	99.4	157	157	158	2.48e-119	328.0
4lah	4lah_X	2w9h	2w9h__chain0	100.0	100.0	99.4	157	157	158	2.48e-119	328.0
4lay	4lay_A	4jfk	4jfk__chain0	68.9	50.9	93.0	119	234	128	8.08e-59	177.0
4lde	4lde_B	1q72	1q72__chain1	57.3	100.0	55.0	124	120	220	2.1999999999999998e-38	124.0
4ldl	4ldl_B	1q72	1q72__chain1	57.3	100.0	55.0	124	120	220	2.1999999999999998e-38	124.0
4ldo	4ldo_B	1q72	1q72__chain1	57.3	100.0	55.0	124	120	220	2.1999999999999998e-38	124.0
4lek	4lek_X	2w9h	2w9h__chain0	100.0	100.0	99.4	157	157	158	2.48e-119	328.0
4lfi	4lfi_A	3pe1	3pe1__chain0	58.4	97.8	98.8	363	370	327	2.7e-148	417.0
4lgd	4lgd_A	6nfy	6nfy__chain1	44.9	73.7	92.6	265	350	285	8.95e-78	235.0
4lhi	4lhi_A	4qy3	4qy3__chain0	100.0	100.0	100.0	257	257	257	2.4200000000000004e-200	541.0
4ll5	4ll5_A	3bgz	3bgz__chain0	99.3	100.0	99.6	268	268	268	2.52e-203	550.0
4lmn	4lmn_A	6nfy	6nfy__chain1	31.8	91.8	91.9	274	292	285	3.49e-40	136.0
4lnw	4lnw_A	5jy3	5jy3__chain0	30.8	73.8	84.6	195	263	228	1.2100000000000001e-29	106.0
4lnx	4lnx_A	5jy3	5jy3__chain0	30.8	73.8	84.6	195	263	228	1.2100000000000001e-29	106.0
4lok	4lok_A	4qxo	4qxo__chain0	84.5	100.0	99.5	181	181	182	1.91e-112	313.0
4lol	4lol_A	4qxo	4qxo__chain0	84.0	100.0	99.5	181	178	182	7.38e-107	298.0
4lqp	4lqp_A	4uj1	4uj1__chain0	37.3	82.0	92.3	330	383	337	3.52e-66	208.0
4lqq	4lqq_D	4uj1	4uj1__chain0	37.5	82.7	92.3	315	329	337	1.32e-63	200.0
4lqs	4lqs_A	4uj1	4uj1__chain0	37.2	80.9	87.8	320	372	337	2.2e-64	203.0
4lr6	4lr6_A	5wa5	5wa5__chain0	100.0	100.0	100.0	125	125	125	9.109999999999999e-95	263.0
4lrg	4lrg_A	5i80	5i80__chain0	100.0	98.4	100.0	126	128	126	2.62e-95	265.0
4lu3	4lu3_A	4qy3	4qy3__chain0	36.5	97.0	99.6	263	266	257	6.1e-48	155.0
4lud	4lud_B	5hu9	5hu9__chain0	46.5	60.5	96.2	256	410	266	3.99e-78	238.0
4lue	4lue_A	3gvu	3gvu__chain0	46.2	55.1	91.1	247	423	271	1.6800000000000001e-72	224.0
4lwf	4lwf_A	4cwn	4cwn__chain0	100.0	100.0	100.0	207	207	207	5.69e-147	402.0
4lwg	4lwg_A	4cwn	4cwn__chain0	100.0	100.0	100.0	207	207	207	5.69e-147	402.0
4lz5	4lz5_A	5cbr	5cbr__chain0	100.0	99.6	100.0	258	259	258	1.57e-190	516.0
4lz7	4lz7_A	5cbr	5cbr__chain0	100.0	99.6	100.0	258	259	258	1.57e-190	516.0
4lz8	4lz8_A	5cbr	5cbr__chain0	100.0	99.6	100.0	258	259	258	1.57e-190	516.0
4m15	4m15_A	4m14	4m14__chain0	100.0	100.0	100.0	263	263	263	4.51e-199	538.0
4m1c	4m1c_F	1i7z	1i7z__chain0	68.5	100.0	97.3	213	184	219	1.62e-78	228.0
4m2x	4m2x_A	4km2	4km2__chain0	100.0	100.0	100.0	159	159	159	6.84e-120	330.0
4m49	4m49_A	4aj4	4aj4__chain1	94.5	99.4	99.7	329	331	330	7.069999999999999e-230	622.0
4m6k	4m6k_A	4g95	4g95__chain0	100.0	100.0	100.0	186	186	186	1.13e-138	379.0
4m6l	4m6l_A	4g95	4g95__chain0	100.0	100.0	100.0	186	186	186	1.13e-138	379.0
4m7i	4m7i_A	5vc3	5vc3__chain0	30.0	98.4	99.2	263	247	260	2.39e-28	103.0
4m7v	4m7v_A	2w9h	2w9h__chain0	46.5	92.3	94.9	155	168	158	5.82e-44	138.0
4ma7	4ma7_L	1q72	1q72__chain0	69.7	100.0	100.0	218	213	218	5.08e-106	299.0
4mas	4mas_A	4d7b	4d7b__chain0	100.0	99.1	100.0	116	117	116	9.47e-84	235.0
4mh5	4mh5_A	4nwc	4nwc__chain0	100.0	99.2	100.0	255	257	255	4.5099999999999995e-191	518.0
4mhh	4mhh_L	1q72	1q72__chain0	72.5	100.0	100.0	218	217	218	4.17e-113	317.0
4mju	4mju_A	3cl0	3cl0__chain0	57.1	99.0	99.5	385	389	385	4.36e-178	496.0
4mjv	4mjv_A	3cl0	3cl0__chain0	56.9	98.7	99.5	385	390	385	9.11e-178	495.0
4mkc	4mkc_A	6pl1	6pl1__chain0	40.6	92.1	97.6	293	303	290	1.5e-70	215.0
4mne	4mne_H	6nfy	6nfy__chain1	32.1	93.8	91.9	265	275	285	2.02e-41	139.0
4mnf	4mnf_A	6o95	6o95__chain0	32.0	89.9	85.9	256	257	291	2.7e-30	109.0
4mqs	4mqs_B	1q72	1q72__chain1	54.0	100.0	55.0	124	121	220	2.06e-36	119.0
4mqt	4mqt_B	1q72	1q72__chain1	54.0	100.0	55.0	124	121	220	2.06e-36	119.0
4mta	4mta_A	1xws	1xws__chain0	100.0	100.0	100.0	273	273	273	2.17e-211	570.0
4mtb	4mtb_A	1c5s	1c5s__chain0	100.0	100.0	100.0	223	223	223	1.45e-166	453.0
4mty	4mty_A	4qy3	4qy3__chain0	100.0	99.6	100.0	257	258	257	3.5900000000000006e-200	541.0
4mug	4mug_A	3iob	3iob__chain0	100.0	100.0	100.0	287	287	287	2.04e-182	498.0
4muh	4muh_A	3ioe	3ioe__chain0	100.0	100.0	100.0	286	286	286	7.699999999999999e-182	497.0
4mui	4mui_B	3iod	3iod__chain1	100.0	100.0	100.0	272	272	272	5.799999999999999e-170	466.0
4muj	4muj_A	3coz	3coz__chain0	100.0	100.0	100.0	288	288	288	1.89e-183	501.0
4mun	4mun_B	3ime	3ime__chain1	100.0	100.0	99.6	272	272	273	8.539999999999999e-170	465.0
4mva	4mva_B	2v2c	2v2c__chain0	43.1	97.2	98.4	248	254	249	8.45e-58	179.0
4mvf	4mvf_A	5aut	5aut__chain0	36.0	53.9	96.7	267	408	274	3.11e-45	152.0
4mwx	4mwx_A	3cl0	3cl0__chain0	48.8	97.7	97.9	381	388	385	3.42e-128	369.0
4mx0	4mx0_A	3cl0	3cl0__chain0	48.8	97.7	97.9	381	388	385	3.42e-128	369.0
4mxo	4mxo_A	3gvu	3gvu__chain0	50.8	92.9	93.7	254	266	271	5.55e-83	245.0
4mxx	4mxx_A	3gvu	3gvu__chain0	50.4	92.9	93.7	254	266	271	1.5799999999999998e-82	244.0
4mxy	4mxy_A	3gvu	3gvu__chain0	50.0	92.9	93.7	254	266	271	1.81e-81	241.0
4mxz	4mxz_A	3gvu	3gvu__chain0	50.0	92.9	93.7	254	266	271	1.81e-81	241.0
4n0s	4n0s_A	2ojj	2ojj__chain0	100.0	97.4	99.7	343	352	344	7.799999999999999e-261	702.0
4n0x	4n0x_B	4qy3	4qy3__chain0	100.0	99.6	100.0	257	258	257	3.5900000000000006e-200	541.0
4n16	4n16_A	4qy3	4qy3__chain0	100.0	99.6	100.0	257	258	257	3.5900000000000006e-200	541.0
4n1m	4n1m_A	6r8l	6r8l__chain0	75.9	95.3	98.8	162	170	164	7.75e-96	270.0
4n1n	4n1n_A	6r8l	6r8l__chain0	75.9	98.2	98.8	162	165	164	6.34e-96	270.0
4n1o	4n1o_A	6r8l	6r8l__chain0	75.9	98.2	98.8	162	165	164	6.34e-96	270.0
4n1p	4n1p_A	6r8l	6r8l__chain0	75.9	98.2	98.8	162	165	164	6.34e-96	270.0
4n1q	4n1q_A	6r8l	6r8l__chain0	75.9	98.2	98.8	162	165	164	6.34e-96	270.0
4n1r	4n1r_A	6r8l	6r8l__chain0	75.9	98.2	98.8	162	165	164	6.34e-96	270.0
4n1s	4n1s_A	6r8l	6r8l__chain0	75.9	98.2	98.8	162	165	164	6.34e-96	270.0
4n4f	4n4f_A	5j0d	5j0d__chain0	100.0	61.3	100.0	117	191	117	9.740000000000001e-85	241.0
4n5g	4n5g_A	4k4j	4k4j__chain0	100.0	100.0	91.6	196	196	214	1.28e-144	396.0
4n86	4n86_A	3cfn	3cfn__chain0	100.0	100.0	100.0	115	115	115	1.9899999999999998e-82	231.0
4n87	4n87_A	3nex	3nex__chain0	100.0	100.0	99.1	115	115	116	1.0199999999999999e-82	232.0
4n8r	4n8r_B	4k4j	4k4j__chain0	100.0	100.0	92.5	198	198	214	1.4499999999999998e-146	401.0
4nd1	4nd1_A	4aji	4aji__chain0	30.6	98.4	95.7	314	317	327	1.41e-43	147.0
4nd2	4nd2_A	4aji	4aji__chain0	30.6	98.4	95.7	314	317	327	1.41e-43	147.0
4nd4	4nd4_A	4aji	4aji__chain0	30.6	98.4	95.7	314	317	327	1.41e-43	147.0
4neu	4neu_B	4rfm	4rfm__chain0	33.6	85.1	90.0	238	268	249	1.65e-34	120.0
4nf4	4nf4_B	5dex	5dex__chain1	98.9	99.6	99.6	279	278	279	5.92e-205	555.0
4nf5	4nf5_A	5dex	5dex__chain0	99.3	99.3	100.0	271	273	269	1.3e-202	548.0
4nf6	4nf6_B	5dex	5dex__chain1	99.6	99.6	99.6	278	278	279	6.17e-207	560.0
4nf8	4nf8_B	5dex	5dex__chain1	99.6	99.3	99.6	279	281	279	4.2e-208	563.0
4nfn	4nfn_A	4btk	4btk__chain0	99.0	99.0	100.0	290	293	287	2.1000000000000002e-213	577.0
4nh1	4nh1_B	3pe1	3pe1__chain0	100.0	98.5	100.0	327	332	327	8.95e-253	680.0
4nhv	4nhv_A	4nl1	4nl1__chain0	100.0	99.6	100.0	273	274	273	6.16e-200	541.0
4nif	4nif_E	2ojj	2ojj__chain0	99.1	98.0	100.0	344	348	344	1.2299999999999999e-256	691.0
4nil	4nil_A	4nl1	4nl1__chain0	100.0	99.6	100.0	273	274	273	6.16e-200	541.0
4nir	4nir_A	4nl1	4nl1__chain0	100.0	99.6	100.0	273	274	273	6.16e-200	541.0
4nm5	4nm5_A	3i4b	3i4b__chain1	100.0	96.1	100.0	347	361	347	1.78e-260	701.0
4nm7	4nm7_A	3i4b	3i4b__chain1	99.4	97.2	100.0	347	355	347	6.3800000000000005e-257	692.0
4nqa	4nqa_B	4rak	4rak__chain0	98.3	65.0	100.0	240	369	236	7.25e-164	453.0
4nqm	4nqm_A	4mr3	4mr3__chain0	100.0	100.0	100.0	127	127	127	3.16e-96	267.0
4nqn	4nqn_A	5i7y	5i7y__chain0	100.0	89.4	100.0	101	113	101	1.4199999999999999e-74	211.0
4nr4	4nr4_A	5mmg	5mmg__chain0	100.0	100.0	98.3	113	113	115	1.1e-83	234.0
4nr5	4nr5_A	5eng	5eng__chain0	100.0	100.0	99.1	113	113	114	2.16e-83	234.0
4nr6	4nr6_A	5j0d	5j0d__chain0	100.0	100.0	99.1	116	116	117	2.8e-85	239.0
4nr7	4nr7_A	5j0d	5j0d__chain0	100.0	100.0	99.1	116	116	117	2.8e-85	239.0
4nr8	4nr8_A	5dlx	5dlx__chain0	100.0	100.0	100.0	125	125	125	3.18e-95	265.0
4nr9	4nr9_A	4z93	4z93__chain0	37.2	76.9	85.5	94	117	110	1.79e-16	64.7
4nx6	4nx6_A	2d0k	2d0k__chain0	96.2	99.4	99.4	158	159	159	3.01e-114	315.0
4nx7	4nx7_A	2d0k	2d0k__chain0	96.2	99.4	99.4	158	159	159	3.01e-114	315.0
4ny9	4ny9_A	5jy3	5jy3__chain0	30.8	70.0	82.5	195	260	228	3.81e-20	81.3
4nyv	4nyv_A	5j0d	5j0d__chain0	100.0	100.0	99.1	116	116	117	8.030000000000001e-85	238.0
4nyw	4nyw_A	5j0d	5j0d__chain0	100.0	100.0	99.1	116	116	117	2.8e-85	239.0
4nyx	4nyx_A	5j0d	5j0d__chain0	100.0	100.0	99.1	116	116	117	2.8e-85	239.0
4nzw	4nzw_B	6nfy	6nfy__chain1	41.8	98.1	99.6	285	266	285	7.36e-71	214.0
4o1y	4o1y_A	4qem	4qem__chain0	42.2	99.2	88.4	128	124	121	1.26e-23	83.6
4o27	4o27_B	6nfy	6nfy__chain1	43.3	97.5	98.6	282	281	285	3.1100000000000005e-79	236.0
4o2z	4o2z_A	4qyy	4qyy__chain0	42.1	85.7	93.2	321	363	337	1.49e-78	239.0
4o33	4o33_A	4o3f	4o3f__chain0	95.7	100.0	100.0	417	417	409	3.5e-290	781.0
4o51	4o51_L	1i7z	1i7z__chain0	78.7	99.5	98.6	216	215	219	3.59e-116	325.0
4o6l	4o6l_B	3hmo	3hmo__chain0	99.2	100.0	99.2	256	256	257	4.6599999999999997e-191	518.0
4o8f	4o8f_A	5jy3	5jy3__chain0	30.6	71.8	80.3	183	252	228	6.3300000000000004e-21	83.2
4oa7	4oa7_A	4kzq	4kzq__chain1	89.1	22.0	97.9	46	205	47	2.5399999999999998e-24	85.9
4oc7	4oc7_A	4k4j	4k4j__chain0	100.0	100.0	99.5	213	213	214	1.63e-156	427.0
4ocj	4ocj_A	4ocq	4ocq__chain0	100.0	100.0	100.0	355	355	355	1.39e-262	707.0
4oco	4oco_A	4ocq	4ocq__chain0	100.0	100.0	100.0	355	355	355	1.39e-262	707.0
4ocu	4ocu_A	4ocq	4ocq__chain0	91.8	99.2	99.4	353	356	355	1.8999999999999997e-242	656.0
4oeh	4oeh_D	1odi	1odi__chain0	33.3	91.6	93.2	234	250	234	1.11e-27	101.0
4ogl	4ogl_B	1odi	1odi__chain0	32.3	91.6	93.2	232	251	234	1.44e-29	106.0
4ogr	4ogr_A	2xnb	2xnb__chain0	40.6	92.7	95.9	293	315	296	5.98e-66	204.0
4oh4	4oh4_A	6o95	6o95__chain0	34.9	93.4	97.6	301	303	291	4.39e-43	144.0
4oj4	4oj4_A	4k4j	4k4j__chain0	30.0	67.3	83.2	180	260	214	1.79e-15	68.2
4okn	4okn_A	4aj4	4aj4__chain1	94.5	99.4	99.7	329	331	330	7.069999999999999e-230	622.0
4oli	4oli_A	4gih	4gih__chain0	93.1	50.8	100.0	288	539	288	2.53e-198	549.0
4ong	4ong_L	1q72	1q72__chain0	77.7	99.5	98.6	215	214	218	1.49e-119	333.0
4opx	4opx_C	3gjw	3gjw__chain0	99.7	76.8	100.0	350	456	350	1.26e-251	683.0
4oqa	4oqa_C	3gjw	3gjw__chain0	99.7	76.8	100.0	350	456	350	1.26e-251	683.0
4oqb	4oqb_C	3gjw	3gjw__chain0	99.7	76.8	100.0	350	456	350	1.26e-251	683.0
4or7	4or7_A	2d0k	2d0k__chain0	88.6	95.8	99.4	158	165	159	9.379999999999999e-106	294.0
4osg	4osg_A	2d0k	2d0k__chain0	88.6	99.4	99.4	158	159	159	7.35e-106	294.0
4oso	4oso_A	4bny	4bny__chain3	35.2	99.2	98.0	253	252	244	8.890000000000001e-31	109.0
4osp	4osp_D	4bny	4bny__chain2	31.5	98.4	92.5	251	245	253	5.5900000000000004e-27	99.8
4ot5	4ot5_A	4m0y	4m0y__chain0	58.5	98.1	98.1	258	263	263	1.3e-115	327.0
4otq	4otq_A	4m0y	4m0y__chain0	58.5	98.1	98.1	258	263	263	1.3e-115	327.0
4otr	4otr_A	4m0y	4m0y__chain0	58.5	98.1	98.1	258	263	263	1.3e-115	327.0
4ouc	4ouc_A	6g36	6g36__chain0	100.0	100.0	97.3	329	329	338	2.3199999999999997e-250	674.0
4ozt	4ozt_U	4k4j	4k4j__chain0	75.1	99.0	90.2	193	195	214	7.61e-107	300.0
4p4c	4p4c_A	5ia1	5ia1__chain0	71.7	95.5	96.9	258	266	261	2.9499999999999996e-138	385.0
4p68	4p68_A	2d0k	2d0k__chain0	96.8	99.4	99.4	158	158	159	1.38e-112	311.0
4pd4	4pd4_K	1i7z	1i7z__chain0	60.7	100.0	51.1	112	107	219	3.39e-44	138.0
4pdj	4pdj_A	2d0k	2d0k__chain0	96.2	99.4	99.4	158	159	159	3.01e-114	315.0
4pjv	4pjv_A	3kjd	3kjd__chain0	98.5	100.0	97.7	342	339	350	3.69e-248	669.0
4pkl	4pkl_A	5ula	5ula__chain0	31.1	80.0	75.6	90	110	119	4.75e-09	45.4
4plc	4plc_A	4aji	4aji__chain0	32.0	97.2	95.1	319	324	327	2.89e-50	165.0
4plf	4plf_B	4aji	4aji__chain0	32.0	95.5	95.1	319	330	327	1.73e-50	166.0
4plg	4plg_B	4aji	4aji__chain0	32.0	98.1	95.1	319	321	327	2.65e-50	165.0
4plh	4plh_B	4aji	4aji__chain0	33.6	96.8	93.0	307	313	327	1.74e-56	181.0
4plt	4plt_C	4aji	4aji__chain0	33.0	96.9	93.0	312	318	327	3.1299999999999997e-55	177.0
4ply	4ply_D	4i8x	4i8x__chain0	33.3	96.7	91.6	303	303	321	2.89e-53	172.0
4plz	4plz_A	4i9u	4i9u__chain0	33.3	93.7	88.2	288	302	323	9.140000000000001e-43	144.0
4pm1	4pm1_A	4d7b	4d7b__chain0	100.0	99.1	100.0	116	117	116	1.35e-83	234.0
4pp6	4pp6_B	4k4j	4k4j__chain0	33.2	81.3	86.9	190	230	214	1.1200000000000002e-21	84.3
4ppp	4ppp_A	4k4j	4k4j__chain0	32.6	82.0	86.9	190	228	214	2.9100000000000002e-21	83.2
4pps	4pps_A	4k4j	4k4j__chain0	31.3	95.8	99.1	230	238	214	5.050000000000001e-21	82.8
4pq7	4pq7_A	4qy3	4qy3__chain0	100.0	98.5	99.6	256	260	257	3.8900000000000004e-200	541.0
4pss	4pss_A	2d0k	2d0k__chain0	96.2	99.4	99.4	158	159	159	3.01e-114	315.0
4pst	4pst_A	2d0k	2d0k__chain0	96.2	99.4	99.4	158	159	159	3.01e-114	315.0
4psy	4psy_A	2d0k	2d0k__chain0	96.2	99.4	99.4	158	159	159	3.01e-114	315.0
4ptu	4ptu_A	1i7z	1i7z__chain0	81.0	100.0	98.2	216	212	219	5.21e-122	340.0
4pvu	4pvu_B	5jy3	5jy3__chain0	31.6	73.0	80.3	190	252	228	3.26e-22	86.7
4pwg	4pwg_A	3nex	3nex__chain0	100.0	100.0	100.0	116	116	116	4.5e-84	236.0
4pwi	4pwi_A	3nex	3nex__chain0	100.0	100.0	99.1	115	115	116	1.0199999999999999e-82	232.0
4pwj	4pwj_A	3nex	3nex__chain0	100.0	100.0	100.0	116	116	116	4.5e-84	236.0
4pwk	4pwk_A	3nex	3nex__chain0	100.0	100.0	100.0	116	116	116	4.5e-84	236.0
4pxx	4pxx_A	4qy3	4qy3__chain0	97.7	99.6	100.0	257	258	257	1.84e-193	524.0
4q0d	4q0d_E	2w9h	2w9h__chain0	34.9	29.3	80.4	149	508	158	6.51e-12	58.5
4q0e	4q0e_A	2w9h	2w9h__chain0	34.9	29.5	80.4	149	505	158	6.46e-12	58.5
4q30	4q30_B	5cbr	5cbr__chain0	98.4	100.0	100.0	258	258	258	4.14e-188	510.0
4q50	4q50_A	4k4j	4k4j__chain0	32.3	87.1	89.7	195	210	214	3.91e-19	77.0
4q5j	4q5j_A	6o95	6o95__chain0	35.2	93.3	97.6	301	298	291	7.000000000000001e-44	146.0
4q8z	4q8z_A	4qy3	4qy3__chain0	100.0	100.0	100.0	257	257	257	2.4200000000000004e-200	541.0
4qc3	4qc3_A	4z93	4z93__chain0	36.1	86.9	88.2	97	107	110	6.45e-17	65.5
4qfs	4qfs_A	5aut	5aut__chain0	36.1	70.4	96.0	266	362	274	1.0599999999999999e-45	152.0
4qhv	4qhv_A	4g95	4g95__chain0	100.0	100.0	100.0	186	186	186	1.13e-138	379.0
4qi9	4qi9_B	2d0k	2d0k__chain0	74.7	94.3	99.4	158	159	159	7.93e-85	241.0
4qjc	4qjc_A	4g95	4g95__chain0	100.0	100.0	100.0	186	186	186	1.13e-138	379.0
4qjz	4qjz_D	3oaf	3oaf__chain0	38.1	96.6	97.8	202	206	186	1.9400000000000002e-33	113.0
4qle	4qle_A	2d0k	2d0k__chain0	95.6	99.4	99.4	158	159	159	1.74e-113	313.0
4qlf	4qlf_A	2d0k	2d0k__chain0	94.3	99.4	99.4	158	157	159	3.64e-110	305.0
4qlg	4qlg_A	2d0k	2d0k__chain0	95.6	99.4	99.4	158	159	159	4.28e-114	315.0
4qm0	4qm0_A	5vb5	5vb5__chain0	100.0	100.0	90.3	234	234	259	2.3399999999999998e-172	469.0
4qmc	4qmc_A	4qem	4qem__chain0	100.0	100.0	100.0	121	121	121	2.09e-98	272.0
4qml	4qml_A	6nfy	6nfy__chain1	43.3	97.5	98.6	282	281	285	3.1100000000000005e-79	236.0
4qn5	4qn5_A	5nze	5nze__chain0	57.7	99.0	99.2	390	394	387	5.84e-173	483.0
4qn6	4qn6_A	4gzp	4gzp__chain0	49.4	98.5	98.2	387	389	388	1.4900000000000001e-130	375.0
4qny	4qny_B	2ojg	2ojg__chain0	44.1	95.3	97.6	333	339	337	5.969999999999999e-94	278.0
4qo7	4qo7_A	4aj4	4aj4__chain1	94.5	99.4	99.7	329	331	330	7.069999999999999e-230	622.0
4qo8	4qo8_A	4aj4	4aj4__chain1	94.5	99.4	99.7	329	331	330	7.069999999999999e-230	622.0
4qox	4qox_A	5aut	5aut__chain0	38.5	53.7	93.4	260	462	274	1.51e-49	165.0
4qp3	4qp3_A	4qp2	4qp2__chain0	98.8	100.0	100.0	340	340	336	1.0100000000000001e-251	678.0
4qp4	4qp4_B	3i60	3i60__chain0	98.2	100.0	98.5	335	335	335	2.84e-245	661.0
4qsa	4qsa_A	4qy3	4qy3__chain0	100.0	99.6	100.0	257	258	257	3.5900000000000006e-200	541.0
4qsb	4qsb_A	4qy3	4qy3__chain0	100.0	100.0	100.0	257	257	257	2.4200000000000004e-200	541.0
4qsi	4qsi_A	4qy3	4qy3__chain0	100.0	100.0	100.0	257	257	257	2.4200000000000004e-200	541.0
4qsj	4qsj_B	4qy3	4qy3__chain0	60.5	99.2	99.2	256	258	257	4.3400000000000004e-116	328.0
4qst	4qst_A	6s56	6s56__chain0	100.0	100.0	100.0	130	130	130	4.44e-93	259.0
4qte	4qte_A	2ojj	2ojj__chain0	100.0	98.9	100.0	344	348	344	4e-262	705.0
4qut	4qut_A	6s56	6s56__chain0	100.0	100.0	100.0	130	130	130	4.44e-93	259.0
4qxp	4qxp_A	4qxo	4qxo__chain0	97.3	100.0	100.0	182	182	182	1.18e-129	356.0
4qyd	4qyd_A	5i7y	5i7y__chain0	40.0	83.3	94.1	95	114	101	3.59e-19	71.2
4qyf	4qyf_A	1nvq	1nvq__chain0	100.0	98.1	100.0	264	269	264	1.12e-203	550.0
4r2u	4r2u_A	5jy3	5jy3__chain0	31.4	71.2	80.3	194	260	228	1.4400000000000001e-21	85.1
4r2w	4r2w_C	1odi	1odi__chain0	32.2	81.9	81.6	205	248	234	4.3899999999999995e-25	94.4
4r3m	4r3m_A	2uwd	2uwd__chain0	100.0	100.0	100.0	209	209	209	4e-148	405.0
4r4f	4r4f_L	1i7z	1i7z__chain0	78.4	99.0	97.3	213	209	219	1.56e-113	318.0
4r68	4r68_A	4aj4	4aj4__chain1	94.5	99.4	99.7	329	331	330	7.069999999999999e-230	622.0
4r69	4r69_C	4aj4	4aj4__chain1	93.6	99.4	99.7	329	328	330	2.3399999999999998e-225	610.0
4r6s	4r6s_A	5jy3	5jy3__chain0	31.4	70.6	80.3	194	262	228	2.8800000000000002e-21	84.3
4r7h	4r7h_A	6pl1	6pl1__chain0	41.2	87.3	91.4	274	308	290	2.7999999999999997e-60	189.0
4r7i	4r7i_A	6pl1	6pl1__chain0	41.5	91.7	90.0	270	290	290	7.1e-62	192.0
4ra4	4ra4_A	4uj1	4uj1__chain0	41.2	88.1	82.5	284	320	337	1.47e-75	230.0
4rc2	4rc2_A	1xws	1xws__chain0	100.0	100.0	100.0	273	273	273	2.17e-211	570.0
4rc3	4rc3_A	1xws	1xws__chain0	99.6	100.0	100.0	273	272	273	5.73e-209	564.0
4rc4	4rc4_A	1xws	1xws__chain0	100.0	100.0	100.0	273	273	273	2.17e-211	570.0
4rew	4rew_A	5aut	5aut__chain0	35.7	62.0	96.0	266	411	274	1.27e-44	151.0
4rfw	4rfw_A	4k4j	4k4j__chain0	100.0	100.0	100.0	214	214	214	8.41e-157	427.0
4rgc	4rgc_A	2d0k	2d0k__chain0	96.2	99.4	99.4	158	159	159	3.01e-114	315.0
4rh2	4rh2_A	4qy3	4qy3__chain0	100.0	100.0	100.0	257	257	257	2.4200000000000004e-200	541.0
4riw	4riw_D	3ug2	3ug2__chain0	96.2	97.0	93.6	288	297	299	2.2e-203	552.0
4rix	4rix_D	3ug2	3ug2__chain0	96.2	97.0	93.6	288	297	299	2.2e-203	552.0
4riy	4riy_D	3ug2	3ug2__chain0	96.2	97.0	93.6	288	297	299	2.2e-203	552.0
4rlo	4rlo_A	3rwp	3rwp__chain0	38.7	95.8	95.7	269	259	278	4.58e-60	186.0
4rls	4rls_A	4aj4	4aj4__chain1	94.5	99.4	99.7	329	331	330	7.069999999999999e-230	622.0
4rmc	4rmc_A	4k4j	4k4j__chain0	100.0	100.0	100.0	214	214	214	8.41e-157	427.0
4rmd	4rmd_A	4k4j	4k4j__chain0	100.0	100.0	100.0	214	214	214	8.41e-157	427.0
4rmz	4rmz_A	6o94	6o94__chain0	97.3	100.0	99.3	291	287	292	7.33e-200	543.0
4ros	4ros_A	4i8x	4i8x__chain1	31.4	96.2	92.7	309	318	331	3.87e-45	151.0
4rr7	4rr7_A	4rr6	4rr6__chain0	100.0	100.0	100.0	136	136	136	4.03e-101	280.0
4rr8	4rr8_A	4rr6	4rr6__chain0	100.0	100.0	100.0	136	136	136	4.03e-101	280.0
4rr9	4rr9_A	4rr6	4rr6__chain0	100.0	100.0	100.0	136	136	136	4.03e-101	280.0
4rrb	4rrb_A	4rr6	4rr6__chain0	100.0	100.0	100.0	136	136	136	4.03e-101	280.0
4rrc	4rrc_A	4rr6	4rr6__chain0	100.0	100.0	100.0	136	136	136	4.03e-101	280.0
4rrd	4rrd_A	4rr6	4rr6__chain0	100.0	100.0	100.0	136	136	136	4.03e-101	280.0
4rrh	4rrh_A	4rr6	4rr6__chain0	99.3	100.0	100.0	136	136	136	9.52e-100	277.0
4rri	4rri_A	4rr6	4rr6__chain0	99.3	100.0	100.0	136	136	136	9.52e-100	277.0
4rrj	4rrj_A	4rr6	4rr6__chain0	99.3	100.0	100.0	136	136	136	9.52e-100	277.0
4rrk	4rrk_A	4rr6	4rr6__chain0	99.3	100.0	100.0	136	136	136	9.52e-100	277.0
4rrl	4rrl_A	4rr6	4rr6__chain0	99.3	100.0	100.0	136	136	136	6.7e-100	277.0
